RM_MS0_R,RM_MS0_M,RM_BSK21_R,RM_BSK21_M,RM_ENG_R,RM_ENG_M,RM_APR_R,RM_APR_M,RM_WFF1_R,RM_WFF1_M,MI_MS0_M,MI_MS0_I,MI_BSK21_M,MI_BSK21_I,MI_ENG_M,MI_ENG_I,MI_APR_M,MI_APR_I,MI_WFF1_M,MI_WFF1_I
200.0,3.521365829275576e-10,200.0,2.4306525556721048e-05,200.0,3.4975564974360973e-10,200.0,5.721862910331563e-10,200.0,3.4378002700358947e-10,2.337784631932137,4.179434190051995,2.0457801885214857,2.592659882963419,1.940127755643183,2.239331733346282,1.870773707951906,1.9638960024146164,1.9985244625819243,1.935647933106884
200.0,3.5831563102687285e-10,200.0,2.4573088176744508e-05,200.0,3.5585056383838525e-10,200.0,5.81784638055384e-10,200.0,3.496650839884589e-10,2.3738311458483285,4.262679075195816,2.0664583951975346,2.619943333013116,1.9585669863349073,2.2609618276198677,1.896093912464895,1.9963779362020249,2.0144156412290415,1.9537809840655744
200.0,3.6460309925472543e-10,200.0,2.4842580506548247e-05,200.0,3.620516837447156e-10,200.0,5.915439956050042e-10,200.0,3.5565088014381527e-10,2.4064757820098155,4.337214084127766,2.085611465548469,2.644216400787598,1.978021166568311,2.2827110437274714,1.9204478967278151,2.027065969429065,2.0292210293072994,1.969904185671636
200.0,3.7100088994418996e-10,200.0,2.5115034785960695e-05,200.0,3.683608600825204e-10,200.0,6.014670645941665e-10,200.0,3.61739139854648e-10,2.4378515075060827,4.407778325898418,2.1031795714174004,2.665451310122504,2.001098579208964,2.3072519713841464,1.9438234350260277,2.055921992151626,2.0429651842762775,1.9840399634410186
200.0,3.775109388061009e-10,200.0,2.539045508742431e-05,200.0,3.7477997571806987e-10,200.0,6.115565912419203e-10,200.0,3.67931617022427e-10,2.467949167321056,4.4742255210995,2.11985278118531,2.6844993413094853,2.023442119391644,2.329972605318775,1.966210582408744,2.0829147634830165,2.0556751482608613,1.9962225462721037
200.0,3.841352155146584e-10,200.0,2.5668920295138472e-05,200.0,3.813109463257612e-10,200.0,6.218153678342262e-10,200.0,3.7423009557022995e-10,2.4967682155025033,4.536464730069655,2.1356368733589033,2.7013557614818975,2.0450691643156964,2.3510792421836078,1.9876021301740403,2.108021516178663,2.0667799578055894,2.0059861146826248
200.0,3.908757243033429e-10,200.0,2.5950420805503033e-05,200.0,3.8795572095992514e-10,200.0,6.322462334967034e-10,200.0,3.8063638995668354e-10,2.5234224581953524,4.592574240460151,2.150542802488956,2.7160381852232023,2.0659669779983054,2.3706683641851725,2.007992373605149,2.1312235129803145,2.0767215859960304,2.013800110128775
200.0,3.977345045712916e-10,200.0,2.6235025536123894e-05,200.0,3.94716282636274e-10,200.0,6.428520749803165e-10,200.0,3.871523456986674e-10,2.5473398312436344,4.641409379696289,2.16458228657909,2.7285713663049314,2.0861114815589947,2.3887846794522583,2.0273787594107735,2.1525114054643506,2.0857782998093564,2.019920793292834
200.0,4.0471363150028155e-10,200.0,2.652272775459278e-05,200.0,4.0159464892381123e-10,200.0,6.536358274603321e-10,200.0,3.9377983990284885e-10,2.570028413534151,4.686046709347694,2.177702418506041,2.738943453148932,2.1054729142247046,2.4054409724582304,2.0457607660187342,2.1718816109471635,2.0939732479191773,2.0243835062956816
200.0,4.118152166825418e-10,200.0,2.681359142355454e-05,200.0,4.085928725467825e-10,200.0,6.646004753485258e-10,200.0,4.0052078180649115e-10,2.591498508587453,4.7264494530447205,2.1893856630309014,2.7468577663890823,2.124020336923449,2.4206311263096874,2.0631402526200286,2.189337260255666,2.101333420652802,2.027237460350257
200.0,4.190414087596728e-10,200.0,2.7107649259228974e-05,200.0,4.1571304199737654e-10,200.0,6.75749053119183e-10,200.0,4.073771133274005e-10,2.6117658672668367,4.762621369474057,2.2002705384787267,2.7528304990882977,2.138475567511351,2.4318140527098233,2.079521396383991,2.2048879422495693,2.1078885457758565,2.02854181747343
200.0,4.263943940725787e-10,200.0,2.7404924614498014e-05,200.0,4.22957282158848e-10,200.0,6.870846461488297e-10,200.0,4.1435080962325905e-10,2.629937610044668,4.793100653948887,2.210366980808706,2.756881705766541,2.1518168589240796,2.441302430673233,2.0949110001775098,2.2185505628936317,2.1133307660283873,2.028392207459434
200.0,4.33876397323e-10,200.0,2.7705475961602172e-05,200.0,4.3032775493963523e-10,200.0,6.986103915701088e-10,200.0,4.214438796607017e-10,2.646463861579056,4.818784147221177,2.2196906167318757,2.7590528237113094,2.1643200403801575,2.449217493910335,2.1093173288605493,2.230345828390668,2.118014321766609,2.0269334814628968
200.0,4.4148968224661103e-10,200.0,2.800928987982341e-05,200.0,4.37826659918512e-10,200.0,7.103294791394299e-10,200.0,4.286583667938957e-10,2.6618979014309527,4.840584353034437,2.228257422865682,2.7593903982836943,2.1755721867322158,2.455306124289383,2.122751714563485,2.240302981072847,2.122027401166101,2.0242004523811783
200.0,4.4923655229775614e-10,200.0,2.8316467013542555e-05,200.0,4.454562350010005e-10,200.0,7.222451521217611e-10,200.0,4.359963493532955e-10,2.676258932806907,4.858538049910304,2.2360285732841683,2.7579636117497888,2.1853025599932527,2.459500504590738,2.1352261867789353,2.2484526061262033,2.125392076302365,2.020238702047586
200.0,4.5711935134645086e-10,200.0,2.8626994712435057e-05,200.0,4.532187570872101e-10,200.0,7.343607081852018e-10,200.0,4.4345994124418674e-10,2.6894513575842693,4.872593464922731,2.242827508237839,2.7549573768456677,2.1942499302105163,2.46215675490135,2.1455843536460173,2.2542377057686047,2.128132219942165,2.0151003219243946
200.0,4.651404643874604e-10,200.0,2.894093375900266e-05,200.0,4.6111654275111793e-10,200.0,7.466795003155374e-10,200.0,4.5105129255567135e-10,2.7009233926044094,4.882421117275924,2.248945485204417,2.75035742302965,2.202419157360102,2.463261054588055,2.1530130794586753,2.2575502200263333,2.13027109115573,2.0088373990723283
200.0,4.733023182619693e-10,200.0,2.925830289331625e-05,200.0,4.691519489322023e-10,200.0,7.592049377436584e-10,200.0,4.5877259018011684e-10,2.71144715145282,4.888877420543332,2.254396260216293,2.7442032089074857,2.2092892650949683,2.462879929038217,2.159766268707442,2.2595909917427246,2.1317823880559725,2.0018135086424858
200.0,4.816073823914829e-10,200.0,2.95791571068236e-05,200.0,4.773273736384103e-10,200.0,7.719404868890808e-10,200.0,4.666260584428892e-10,2.721038733033142,4.891990546674039,2.259196774145769,2.7365473479915265,2.2153986819322675,2.4611082783754834,2.1658379113513235,2.2603088456886273,2.132735632671281,1.994143525295366
200.0,4.900581695253013e-10,200.0,2.990354510718795e-05,200.0,4.856452566620342e-10,200.0,7.848896723192623e-10,200.0,4.746139597434575e-10,2.7297235385941176,4.891859195262673,2.263363998568042,2.72744427789038,2.220821204323568,2.4579446108797804,2.171234808480856,2.2596934458098583,2.1332036461577335,1.9855999236220336
200.0,4.986572365004464e-10,200.0,3.023145129992365e-05,200.0,4.941080803076226e-10,200.0,7.980560777249511e-10,200.0,4.827385952066298e-10,2.7371480539256203,4.88878545841008,2.2668422094373586,2.7171976727741325,2.225408654800474,2.453589843237367,2.17597003738155,2.257756461595093,,
200.0,5.074071850154499e-10,200.0,3.056299019397781e-05,200.0,5.027183701329168e-10,200.0,8.114433469119961e-10,200.0,4.910023053457709e-10,2.743699338294143,4.882886271248379,2.2696932352864327,2.7058314281191387,2.2292312398294998,2.4481506038324503,2.180060509725136,2.2545243807174735,,
200.0,5.16310662417189e-10,200.0,3.089815513909005e-05,200.0,5.114786957022264e-10,200.0,8.250551848097352e-10,200.0,4.994074707369937e-10,2.7494573103727866,4.874202669649563,2.27198429974101,2.6932482992970783,2.232457039818338,2.4415019166263714,2.183525049066095,2.250032246481184,,
200.0,5.253703625020569e-10,200.0,3.123700347226866e-05,200.0,5.203916713534421e-10,200.0,8.388953584963194e-10,200.0,5.079565127046411e-10,2.7544421901983824,4.862812908390178,2.2737272652291662,2.6794894726919405,2.2350652538461193,2.433787700270891,2.186383975377186,2.244322400492885,,
200.0,5.345890263308252e-10,200.0,3.1579522263953476e-05,200.0,5.294599569781333e-10,200.0,8.529676982412005e-10,200.0,5.166518940191613e-10,2.758521839388298,4.849390805709801,2.2749399333543185,2.6646103462860355,2.2370294284524768,2.4253498937316813,2.1886583902463173,2.237441882749288,,
200.0,5.439694430579259e-10,200.0,3.192581009087644e-05,200.0,5.386862588153386e-10,200.0,8.672760985651459e-10,200.0,5.25496119606116e-10,2.761867667714875,4.833762580528873,2.2756336425353676,2.6488475691843734,2.238478410884753,2.4158812554981717,2.1903696507537798,2.229440616758369,,
200.0,5.535144507752749e-10,200.0,3.2275923686223054e-05,200.0,5.480733302520221e-10,200.0,8.818245193180466e-10,200.0,5.34491737268121e-10,2.764541556725098,4.815856144564683,2.275835208237349,2.6324498647066017,2.239423187000241,2.4054435138697556,2.1915394007404987,2.220371205923465,,
200.0,5.632269373833277e-10,200.0,3.262984679617555e-05,200.0,5.576239726849792e-10,200.0,8.966169867747273e-10,200.0,5.436413384185376e-10,2.7665621234283133,4.795750046037509,,,2.2398660575409775,2.3945833761804267,2.1921890793349954,2.210287110821735,,
200.0,5.731098414279182e-10,200.0,3.298767846655423e-05,200.0,5.673410362783384e-10,200.0,9.116575947492598e-10,200.0,5.529475588273113e-10,2.7679031031436203,4.774410821080211,,,2.2398661246117966,2.382857953068444,2.1923401161018328,2.1992432584493735,,
200.0,5.831661530256098e-10,200.0,3.3349396825335804e-05,200.0,5.772274208787582e-10,200.0,9.269505057278179e-10,200.0,5.624130793951699e-10,2.7686565197264765,4.751281022324642,,,,,,,,
