II_epsilon_1e-3,time,II_epsilon_5e-4,II_epsilon_1e-4,III_alpha_0.1,III_alpha_0.05,III_alpha_0.01,I
42.35101942684215,258.97897898341625,42.25620652181987,42.09365638208392,42.428897109832434,42.28074636226329,42.09686649754684,42.078915812014806
42.348713853141604,259.3993994038251,42.25363832776913,42.090923792810784,42.42638288152713,42.27810157103581,42.09413041601513,42.0761730833153
42.34641095573407,259.81981982423395,42.25107370344459,42.088195364111044,42.423871904367495,42.275460563057294,42.09139850387666,42.07343455236122
42.34411072992864,260.24024024464273,42.24851263970166,42.08547108378667,42.42136417115383,42.27282332831269,42.08867074889934,42.07070020677143
42.34181317103647,260.6606606650516,42.245955127464725,42.08275093965568,42.41885967474001,42.270189856790154,42.08594713887168,42.06797003417843
42.33951827432586,261.0810810854604,42.24340115766924,42.0800349194928,42.41635840798562,42.26756013843165,42.08322766154288,42.06524402216647
42.33722603508729,261.50150150586927,42.24085072134455,42.077323011269684,42.413860363824604,42.264934163339205,42.08051230486345,42.062522158510504
42.33493644858411,261.9219219262781,42.238303809511656,42.07461520296119,42.41136553517416,42.26231192161271,42.07780105678814,42.0598044309796
42.33264951005821,262.34234234668696,42.2357604131671,42.0719114825163,42.4088739149193,42.25969340332572,42.07509390524487,42.057090827307945
42.33036521486061,262.76276276709575,42.23322052344064,42.06921183809063,42.40638549604776,42.25707859872382,42.072390838364676,42.05438133543238
42.32808355830999,263.1831831875046,42.2306841314267,42.06651625781685,42.40390027150709,42.25446749802482,42.06969184424553,42.051675943263646
42.32580453569061,263.60360360791344,42.22815122819986,42.063824729820745,42.4014182342201,42.251860091429414,42.06699691096573,42.048974638707314
42.32352814235734,264.0240240283223,42.225621804973564,42.06113724241894,42.398939377227016,42.24925636928402,42.064306026778965,42.04627740987625
42.32125437361667,264.44444444873113,42.22309585291299,42.05845378386353,42.39646369352437,42.246656321833356,42.0616191798362,42.04358424483261
42.318983224763,264.8648648691399,42.22057336320128,42.05577434241314,42.39399117612269,42.244059939301124,42.05893635828711,42.040895131673395
42.31671469115701,265.28528528954877,42.218054327160104,42.053098906431934,42.39152181814662,42.24146721215423,42.05625755058675,42.03821005868473
42.31444876811249,265.7057057099576,42.21553873604972,42.05042746423716,42.389055612657955,42.23887813079345,42.05358274511441,42.035529014070136
42.312185450972265,266.12612613036646,42.21302658118826,42.047760004315954,42.38659255274909,42.23629268563802,42.05091193026474,42.032851986107225
42.30992473513962,266.5465465507753,42.210517853998795,42.04509651526956,42.384132631526086,42.23371086723411,42.04824509459246,42.0301789632132
42.30766661596361,266.9669669711841,42.20801254580763,42.04243698558717,42.38167584201551,42.23113266604269,42.04558222656367,42.02750993367453
42.30541108883487,267.38738739159294,42.205510647997436,42.039781403894914,42.37922217737906,42.22855807262368,42.04292331477327,42.02484488585583
42.30315814911091,267.8078078120018,42.203012151997385,42.037129758906715,42.376771630817615,42.225987077598155,42.04026834789899,42.02218380825985
42.300907792079705,268.22822823241063,42.2005170491763,42.0344820392456,42.37432419545135,42.2234196714993,42.03761731452415,42.01952668933985
42.298660013164515,268.6486486528195,42.19802533109268,42.0318382337158,42.37187986451217,42.22085584500958,42.03497020341341,42.0168735177526
42.296414807774504,269.0690690732283,42.1955369892922,42.029198331130154,42.369438631221385,42.21829558881821,42.03232700334149,42.014224282149854
42.29417217126543,269.4894894936371,42.19305201525301,42.026562320243634,42.36700048874359,42.215738893565955,42.029687703027314,42.01157897111376
42.291932099079425,269.90990991404595,42.19057040061702,42.02393019001777,42.36456543036357,42.21318575007539,42.027052291401255,42.00893757345223
42.289694586610096,270.3303303344548,42.18809213696997,42.02130192935251,42.36213344931153,42.21063614911933,42.024420757335555,42.00630007791168
42.28745962923667,270.75075075486365,42.18561721589864,42.01867752716925,42.35970453882093,42.20809008149026,42.02179308972787,42.003666473255464
42.28522722240404,271.1711711752725,42.183145629116986,42.016056972573004,42.357278692243426,42.20554753813138,42.019169277663785,42.00103674842673
42.282997361494644,271.5915915956813,42.18067736824982,42.01344025456664,42.354855902854894,42.2030085098839,42.01654931012785,41.99841089225753
42.280770041937025,272.0120120160901,42.1782124250051,42.01082736227551,42.352436164005574,42.200472987667574,42.013933176228015,41.995788893694815
42.27854525920206,272.43243243649897,42.175750791166095,42.00821828493084,42.35001946910697,42.19794096242514,42.01132086517609,41.99317074178513
42.27632300870683,272.8528528569078,42.17329245843627,42.00561301166492,42.347605811470075,42.19541242500167,42.008712366079116,41.9905564254692
42.27410328595643,273.27327327731666,42.17083741867333,42.00301153181188,42.34519518446614,42.19288736649485,42.00610766823517,41.98794593388983
42.271886086406894,273.69369369772545,42.16838566372505,42.00041383469255,42.342787581467576,42.1903657779725,42.00350676091987,41.98533925618263
42.2696714054535,274.1141141181343,42.16593718540729,41.997819909586816,42.34038299584063,42.18784765043804,42.00090963334961,41.982736381451105
42.267459238582475,274.53453453854314,42.16349197568832,41.9952297459763,42.33798142108514,42.185332975081586,41.99831627488794,41.98013729901811
42.26524958123502,274.954954958952,42.16105002641715,41.99264333320137,42.33558285061842,42.18282174299991,41.99572667483915,41.97754199810851
42.2630424289007,275.37537537936083,42.158611329454565,41.99006066063764,42.33318727789922,42.180313945350235,41.99314082268713,41.97495046803951
42.26083777710609,275.7957957997697,42.15617587680834,41.987481717859225,42.33079469645482,42.1778095733871,41.99055870799874,41.97236269825821
42.25863562130044,276.21621622017847,42.15374366041571,41.98490649435759,42.328405099714466,42.17530861825347,41.98798032019831,41.969778678089675
42.256435957009714,276.6366366405873,42.15131467234186,41.98233497980231,42.326018481221425,42.17281107125282,41.98540564892144,41.96719839705039
42.25423877973473,277.05705706099616,42.14888890463641,41.979767163842965,42.32363483449815,42.17031692367441,41.982834683791616,41.96462184462632
42.25204408494036,277.477477481405,42.146466349316874,41.97720303608953,42.32125415303265,42.167826166774304,41.98026741439334,41.9620490102426
42.24985186818055,277.89789790181385,42.14404699855216,41.9746425863649,42.31887643045273,42.16533879199075,41.977703830517164,41.95947988349399
42.24766212494491,278.31831832222264,42.141630844409,41.97208580437189,42.316501660300894,42.16285479066048,41.975143921830316,41.956914453896765
42.24547485077493,278.7387387426315,42.139217879031946,41.96953267992447,42.314129836195676,42.16037415422231,41.972587678111694,41.95435271117933
